,icon,maxscore,certified fresh,fresh/rotten,genre(s),imdb score,likes,movie id,movie name,time period,release year,score,scorer
10595,CRITIC ROTTEN,100,0,rotten,"Comedy,Crime,Drama",66,948.0,1405,Focus,2015,2015,56,critic
10600,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Drama",55,,1406,Folks!,1990,1992,51,audience
10601,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama",55,,1406,Folks!,1990,1992,0,critic
10602,AUDIENCE FRESH,100,0,fresh,"Crime,Mystery,Thriller",76,434.0,1407,Following,1995,1998,85,audience
10603,CRITIC FRESH,100,0,fresh,"Crime,Mystery,Thriller",76,434.0,1407,Following,1995,1998,79,critic
10610,AUDIENCE ROTTEN,100,0,fresh,Drama,61,,1408,Fool for Love,1985,1985,47,audience
10611,CRITIC FRESH,100,0,fresh,Drama,61,,1408,Fool for Love,1985,1985,75,critic
10612,AUDIENCE FRESH,100,0,rotten,"Comedy,Drama,Romance",60,207.0,1409,Fools Rush In,1995,1997,64,audience
10613,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama,Romance",60,207.0,1409,Fools Rush In,1995,1997,33,critic
10656,AUDIENCE FRESH,100,0,rotten,"Drama,Music,Romance",65,791.0,1410,Footloose,1980,1984,71,audience
10657,CRITIC ROTTEN,100,0,rotten,"Drama,Music,Romance",65,791.0,1410,Footloose,1980,1984,51,critic
10670,AUDIENCE FRESH,100,0,rotten,"Drama,Romance,Sport",66,,1411,For Love of the Game,1995,1999,75,audience
10671,CRITIC ROTTEN,100,0,rotten,"Drama,Romance,Sport",66,,1411,For Love of the Game,1995,1999,46,critic
10672,AUDIENCE ROTTEN,100,0,rotten,Comedy,57,,1412,For Richer or Poorer,1995,1997,45,audience
10673,CRITIC ROTTEN,100,0,rotten,Comedy,57,,1412,For Richer or Poorer,1995,1997,15,critic
10674,AUDIENCE ROTTEN,100,0,rotten,Comedy,63,11.0,1413,For Your Consideration,2005,2006,43,audience
10675,CRITIC ROTTEN,100,0,rotten,Comedy,63,11.0,1413,For Your Consideration,2005,2006,51,critic
10678,AUDIENCE FRESH,100,0,fresh,"Action,Adventure,Thriller",68,354.0,1414,For Your Eyes Only,1980,1981,64,audience
10679,CRITIC FRESH,100,0,fresh,"Action,Adventure,Thriller",68,354.0,1414,For Your Eyes Only,1980,1981,74,critic
10690,AUDIENCE ROTTEN,100,0,rotten,Comedy,60,,1415,"For a Good Time, Call...",2010,2012,53,audience
10691,CRITIC ROTTEN,100,0,rotten,Comedy,60,,1415,"For a Good Time, Call...",2010,2012,56,critic
10692,AUDIENCE FRESH,100,0,rotten,"Comedy,Drama,Music",63,,1416,For the Boys,1990,1991,75,audience
10693,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama,Music",63,,1416,For the Boys,1990,1991,43,critic
10694,AUDIENCE FRESH,100,0,rotten,"Drama,Sport",73,66.0,1417,Forever Strong,2005,2008,75,audience
10695,CRITIC ROTTEN,100,0,rotten,"Drama,Sport",73,66.0,1417,Forever Strong,2005,2008,29,critic
10706,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Romance",64,14.0,1418,Forget Paris,1995,1995,56,audience
10707,CRITIC ROTTEN,100,0,rotten,"Comedy,Romance",64,14.0,1418,Forget Paris,1995,1995,50,critic
10710,AUDIENCE FRESH,100,1,fresh,"Comedy,Drama,Romance",72,2691.0,1419,Forgetting Sarah Marshall,2005,2008,76,audience
10711,CERTIFIED FRESH,100,1,fresh,"Comedy,Drama,Romance",72,2691.0,1419,Forgetting Sarah Marshall,2005,2008,84,critic
10724,AUDIENCE ROTTEN,100,0,rotten,"Action,Comedy,Crime",63,,1420,Formula 51,2000,2001,59,audience
10725,CRITIC ROTTEN,100,0,rotten,"Action,Comedy,Crime",63,,1420,Formula 51,2000,2001,26,critic
10726,AUDIENCE FRESH,100,0,fresh,"Drama,Romance",88,8339.0,1421,Forrest Gump,1990,1994,95,audience
10727,CRITIC FRESH,100,0,fresh,"Drama,Romance",88,8339.0,1421,Forrest Gump,1990,1994,72,critic
10736,AUDIENCE FRESH,100,0,rotten,"Action,Crime,Drama",69,378.0,1422,Four Brothers,2005,2005,80,audience
10737,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Drama",69,378.0,1422,Four Brothers,2005,2005,52,critic
10742,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Drama,Romance",56,392.0,1423,Four Christmases,2005,2008,47,audience
10743,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama,Romance",56,392.0,1423,Four Christmases,2005,2008,24,critic
10762,AUDIENCE FRESH,100,1,fresh,"Comedy,Crime,Drama",73,467.0,1424,Four Lions,2010,2010,79,audience
10763,CERTIFIED FRESH,100,1,fresh,"Comedy,Crime,Drama",73,467.0,1424,Four Lions,2010,2010,82,critic
10770,AUDIENCE FRESH,100,0,rotten,Comedy,68,976.0,1425,Four Rooms,1995,1995,69,audience
10771,CRITIC ROTTEN,100,0,rotten,Comedy,68,976.0,1425,Four Rooms,1995,1995,14,critic
10796,AUDIENCE FRESH,100,1,fresh,"Comedy,Drama,Romance",71,,1426,Four Weddings and a Funeral,1990,1994,74,audience
10797,CERTIFIED FRESH,100,1,fresh,"Comedy,Drama,Romance",71,,1426,Four Weddings and a Funeral,1990,1994,95,critic
10798,AUDIENCE FRESH,100,0,fresh,"Drama,Romance",78,,1427,Fox and His Friends,1975,1975,88,audience
10799,CRITIC FRESH,100,0,fresh,"Drama,Romance",78,,1427,Fox and His Friends,1975,1975,83,critic
10800,AUDIENCE ROTTEN,100,0,fresh,Drama,61,,1428,Foxes,1980,1980,57,audience
10801,CRITIC FRESH,100,0,fresh,Drama,61,,1428,Foxes,1980,1980,67,critic
10802,AUDIENCE FRESH,100,0,fresh,"Action,Crime,Thriller",65,23.0,1429,Foxy Brown,1970,1974,66,audience
10803,CRITIC FRESH,100,0,fresh,"Action,Crime,Thriller",65,23.0,1429,Foxy Brown,1970,1974,60,critic
10814,AUDIENCE FRESH,100,1,fresh,"Crime,Drama,Mystery",72,441.0,1430,Fracture,2005,2007,73,audience
10815,CERTIFIED FRESH,100,1,fresh,"Crime,Drama,Mystery",72,441.0,1430,Fracture,2005,2007,71,critic
10824,AUDIENCE FRESH,100,1,fresh,"Crime,Drama,Thriller",73,225.0,1431,Frailty,2000,2001,78,audience
10825,CERTIFIED FRESH,100,1,fresh,"Crime,Drama,Thriller",73,225.0,1431,Frailty,2000,2001,73,critic
10840,AUDIENCE FRESH,100,0,fresh,"Biography,Drama,Romance",74,,1432,Frances,1980,1982,77,audience
10841,CRITIC FRESH,100,0,fresh,"Biography,Drama,Romance",74,,1432,Frances,1980,1982,68,critic
10842,AUDIENCE ROTTEN,100,0,fresh,"Comedy,Horror",61,71.0,1433,Frankenhooker,1990,1990,56,audience
10843,CRITIC FRESH,100,0,fresh,"Comedy,Horror",61,71.0,1433,Frankenhooker,1990,1990,62,critic
10860,AUDIENCE ROTTEN,100,0,rotten,Horror,64,,1434,Frankenstein and the Monster from Hell,1970,1974,49,audience
10861,CRITIC ROTTEN,100,0,rotten,Horror,64,,1434,Frankenstein and the Monster from Hell,1970,1974,40,critic
10862,AUDIENCE FRESH,100,0,rotten,"Comedy,Sci-Fi",63,,1435,Freaked,1990,1993,64,audience
10863,CRITIC ROTTEN,100,0,rotten,"Comedy,Sci-Fi",63,,1435,Freaked,1990,1993,47,critic
10864,AUDIENCE ROTTEN,100,1,fresh,"Comedy,Family,Fantasy",62,1900.0,1436,Freaky Friday,2000,2003,57,audience
10865,CERTIFIED FRESH,100,1,fresh,"Comedy,Family,Fantasy",62,1900.0,1436,Freaky Friday,2000,2003,88,critic
10884,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Family,Fantasy",56,36.0,1437,Fred Claus,2005,2007,45,audience
10885,CRITIC ROTTEN,100,0,rotten,"Comedy,Family,Fantasy",56,36.0,1437,Fred Claus,2005,2007,21,critic
10892,AUDIENCE ROTTEN,100,0,rotten,Comedy,45,277.0,1438,Freddy Got Fingered,2000,2001,55,audience
10893,CRITIC ROTTEN,100,0,rotten,Comedy,45,277.0,1438,Freddy Got Fingered,2000,2001,11,critic
10906,AUDIENCE ROTTEN,100,0,rotten,"Action,Horror,Thriller",58,,1439,Freddy vs. Jason,2000,2003,50,audience
10907,CRITIC ROTTEN,100,0,rotten,"Action,Horror,Thriller",58,,1439,Freddy vs. Jason,2000,2003,41,critic
10908,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Fantasy,Horror",49,88.0,1440,Freddy's Dead: The Final Nightmare,1990,1991,33,audience
10909,CRITIC ROTTEN,100,0,rotten,"Comedy,Fantasy,Horror",49,88.0,1440,Freddy's Dead: The Final Nightmare,1990,1991,20,critic
10936,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Crime",50,,1441,Free Money,1995,1998,26,audience
10937,CRITIC ROTTEN,100,0,rotten,"Comedy,Crime",50,,1441,Free Money,1995,1998,29,critic
10938,AUDIENCE FRESH,100,0,rotten,"Action,Biography,Drama",69,,1442,Free State of Jones,2015,2016,63,audience
10939,CRITIC ROTTEN,100,0,rotten,"Action,Biography,Drama",69,,1442,Free State of Jones,2015,2016,46,critic
10940,AUDIENCE ROTTEN,100,0,rotten,"Adventure,Drama,Family",59,234.0,1443,Free Willy,1990,1993,49,audience
10941,CRITIC ROTTEN,100,0,rotten,"Adventure,Drama,Family",59,234.0,1443,Free Willy,1990,1993,57,critic
10952,AUDIENCE ROTTEN,100,0,rotten,"Adventure,Drama,Family",46,,1444,Free Willy 3: The Rescue,1995,1997,44,audience
10953,CRITIC ROTTEN,100,0,rotten,"Adventure,Drama,Family",46,,1444,Free Willy 3: The Rescue,1995,1997,44,critic
10954,AUDIENCE FRESH,100,0,rotten,"Action,Comedy,Crime",66,,1445,Freebie and the Bean,1970,1974,66,audience
10955,CRITIC ROTTEN,100,0,rotten,"Action,Comedy,Crime",66,,1445,Freebie and the Bean,1970,1974,27,critic
10956,AUDIENCE FRESH,100,0,fresh,"Biography,Crime,Drama",75,443.0,1446,Freedom Writers,2005,2007,87,audience
10957,CRITIC FRESH,100,0,fresh,"Biography,Crime,Drama",75,443.0,1446,Freedom Writers,2005,2007,70,critic
10968,AUDIENCE ROTTEN,100,0,rotten,"Crime,Drama,Mystery",51,,1447,Freedomland,2005,2006,25,audience
10969,CRITIC ROTTEN,100,0,rotten,"Crime,Drama,Mystery",51,,1447,Freedomland,2005,2006,23,critic
10970,AUDIENCE ROTTEN,100,0,rotten,"Action,Crime,Sci-Fi",53,,1448,Freejack,1990,1992,25,audience
10971,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Sci-Fi",53,,1448,Freejack,1990,1992,14,critic
10972,AUDIENCE FRESH,100,0,rotten,"Comedy,Drama,Romance",66,270.0,1449,French Kiss,1995,1995,75,audience
10973,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama,Romance",66,270.0,1449,French Kiss,1995,1995,45,critic
10992,AUDIENCE FRESH,100,1,fresh,"Crime,Drama,Mystery",74,,1450,Frequency,2000,2000,81,audience
10993,CERTIFIED FRESH,100,1,fresh,"Crime,Drama,Mystery",74,,1450,Frequency,2000,2000,70,critic
10994,AUDIENCE FRESH,100,0,rotten,"Comedy,Sci-Fi",71,,1451,Frequently Asked Questions About Time Travel,2005,2009,60,audience
10995,CRITIC ROTTEN,100,0,rotten,"Comedy,Sci-Fi",71,,1451,Frequently Asked Questions About Time Travel,2005,2009,40,critic
10996,AUDIENCE FRESH,100,0,fresh,"Crime,Drama,Thriller",76,44.0,1452,Fresh,1990,1994,92,audience
10997,CRITIC FRESH,100,0,fresh,"Crime,Drama,Thriller",76,44.0,1452,Fresh,1990,1994,87,critic
11004,AUDIENCE ROTTEN,100,0,rotten,Drama,50,,1453,Fresh Horses,1985,1988,34,audience
11005,CRITIC ROTTEN,100,0,rotten,Drama,50,,1453,Fresh Horses,1985,1988,0,critic
11006,AUDIENCE FRESH,100,1,fresh,"Biography,Drama,Romance",74,825.0,1454,Frida,2000,2002,85,audience
11007,CERTIFIED FRESH,100,1,fresh,"Biography,Drama,Romance",74,825.0,1454,Frida,2000,2002,76,critic
11010,AUDIENCE FRESH,100,0,fresh,"Comedy,Drama",73,1087.0,1455,Friday,1995,1995,91,audience
11011,CRITIC FRESH,100,0,fresh,"Comedy,Drama",73,1087.0,1455,Friday,1995,1995,74,critic
11022,AUDIENCE FRESH,100,0,rotten,"Comedy,Drama",58,378.0,1456,Friday After Next,2000,2002,75,audience
11023,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama",58,378.0,1456,Friday After Next,2000,2002,26,critic
11036,AUDIENCE FRESH,100,1,fresh,"Action,Drama,Sport",73,242.0,1457,Friday Night Lights,2000,2004,85,audience
11037,CERTIFIED FRESH,100,1,fresh,"Action,Drama,Sport",73,242.0,1457,Friday Night Lights,2000,2004,81,critic
11054,AUDIENCE ROTTEN,100,0,rotten,Horror,56,,1458,Friday the 13th,2005,2009,45,audience
11055,CRITIC ROTTEN,100,0,rotten,Horror,56,,1458,Friday the 13th,2005,2009,25,critic
11056,AUDIENCE ROTTEN,100,0,rotten,"Horror,Mystery,Thriller",61,,1459,Friday the 13th Part 2,1980,1981,48,audience
11057,CRITIC ROTTEN,100,0,rotten,"Horror,Mystery,Thriller",61,,1459,Friday the 13th Part 2,1980,1981,34,critic
11058,AUDIENCE FRESH,100,0,fresh,Drama,77,473.0,1460,Fried Green Tomatoes,1990,1991,91,audience
11059,CRITIC FRESH,100,0,fresh,Drama,77,473.0,1460,Fried Green Tomatoes,1990,1991,73,critic
11070,AUDIENCE ROTTEN,100,1,fresh,"Comedy,Horror",64,428.0,1461,Fright Night,2010,2011,59,audience
11071,CERTIFIED FRESH,100,1,fresh,"Comedy,Horror",64,428.0,1461,Fright Night,2010,2011,72,critic
11078,AUDIENCE FRESH,100,0,fresh,"Horror,Sci-Fi",67,192.0,1462,From Beyond,1985,1986,69,audience
11079,CRITIC FRESH,100,0,fresh,"Horror,Sci-Fi",67,192.0,1462,From Beyond,1985,1986,73,critic
11114,AUDIENCE FRESH,100,0,fresh,"Action,Crime,Horror",73,2810.0,1463,From Dusk Till Dawn,1995,1996,76,audience
11115,CRITIC FRESH,100,0,fresh,"Action,Crime,Horror",73,2810.0,1463,From Dusk Till Dawn,1995,1996,64,critic
11156,AUDIENCE FRESH,100,0,rotten,"Horror,Mystery,Thriller",68,811.0,1464,From Hell,2000,2001,66,audience
11157,CRITIC ROTTEN,100,0,rotten,"Horror,Mystery,Thriller",68,811.0,1464,From Hell,2000,2001,57,critic
11174,AUDIENCE ROTTEN,100,0,rotten,"Action,Crime,Thriller",65,,1465,From Paris with Love,2010,2010,54,audience
11175,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Thriller",65,,1465,From Paris with Love,2010,2010,37,critic
11176,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Drama,Romance",55,,1466,From Prada to Nada,2010,2011,41,audience
11177,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama,Romance",55,,1466,From Prada to Nada,2010,2011,21,critic
11178,AUDIENCE FRESH,100,0,rotten,"Adventure,Drama,Fantasy",67,,1467,From Time to Time,2005,2009,60,audience
11179,CRITIC ROTTEN,100,0,rotten,"Adventure,Drama,Fantasy",67,,1467,From Time to Time,2005,2009,43,critic
11180,AUDIENCE FRESH,100,0,rotten,"Comedy,Crime,Drama",62,,1468,From the Hip,1985,1987,60,audience
11181,CRITIC ROTTEN,100,0,rotten,"Comedy,Crime,Drama",62,,1468,From the Hip,1985,1987,22,critic
11182,AUDIENCE FRESH,100,0,fresh,"Documentary,Biography",71,,1469,From the Journals of Jean Seberg,1995,1995,80,audience
11183,CRITIC FRESH,100,0,fresh,"Documentary,Biography",71,,1469,From the Journals of Jean Seberg,1995,1995,100,critic
11184,AUDIENCE FRESH,100,1,fresh,"Biography,Drama,History",77,241.0,1470,Frost/Nixon,2005,2008,88,audience
11185,CERTIFIED FRESH,100,1,fresh,"Biography,Drama,History",77,241.0,1470,Frost/Nixon,2005,2008,92,critic
11194,AUDIENCE FRESH,100,1,fresh,"Crime,Drama",72,25.0,1471,Frozen River,2005,2008,74,audience
11195,CERTIFIED FRESH,100,1,fresh,"Crime,Drama",72,25.0,1471,Frozen River,2005,2008,88,critic
11214,AUDIENCE FRESH,100,0,fresh,"Adventure,Drama,War",71,,1472,Fugitive Pieces,2005,2007,65,audience
11215,CRITIC FRESH,100,0,fresh,"Adventure,Drama,War",71,,1472,Fugitive Pieces,2005,2007,68,critic
11216,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Romance",47,,1473,Full Frontal,2000,2002,27,audience
11217,CRITIC ROTTEN,100,0,rotten,"Comedy,Romance",47,,1473,Full Frontal,2000,2002,39,critic
11218,AUDIENCE FRESH,100,1,fresh,"Drama,War",83,4592.0,1474,Full Metal Jacket,1985,1987,94,audience
11219,CERTIFIED FRESH,100,1,fresh,"Drama,War",83,4592.0,1474,Full Metal Jacket,1985,1987,93,critic
11226,AUDIENCE ROTTEN,100,0,rotten,"Adventure,Comedy",54,342.0,1475,Fun Size,2010,2012,47,audience
11227,CRITIC ROTTEN,100,0,rotten,"Adventure,Comedy",54,342.0,1475,Fun Size,2010,2012,25,critic
11232,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Romance",49,,1476,Funny About Love,1990,1990,15,audience
11233,CRITIC ROTTEN,100,0,rotten,"Comedy,Romance",49,,1476,Funny About Love,1990,1990,0,critic
11234,AUDIENCE ROTTEN,100,0,rotten,"Biography,Comedy,Drama",64,,1477,Funny Lady,1975,1975,55,audience
11235,CRITIC ROTTEN,100,0,rotten,"Biography,Comedy,Drama",64,,1477,Funny Lady,1975,1975,44,critic
11236,AUDIENCE ROTTEN,100,0,fresh,"Comedy,Drama",63,722.0,1478,Funny People,2005,2009,48,audience
11237,CRITIC FRESH,100,0,fresh,"Comedy,Drama",63,722.0,1478,Funny People,2005,2009,69,critic
11256,AUDIENCE FRESH,100,1,fresh,"Action,Crime,Thriller",72,616.0,1479,Furious 7,2015,2015,82,audience
11257,CERTIFIED FRESH,100,1,fresh,"Action,Crime,Thriller",72,616.0,1479,Furious 7,2015,2015,80,critic
11268,AUDIENCE ROTTEN,100,0,rotten,"Sci-Fi,Thriller",58,,1480,Futureworld,1975,1976,31,audience
11269,CRITIC ROTTEN,100,0,rotten,"Sci-Fi,Thriller",58,,1480,Futureworld,1975,1976,33,critic
11270,AUDIENCE ROTTEN,100,0,rotten,"Action,Drama,War",59,104.0,1481,G.I. Jane,1995,1997,53,audience
11271,CRITIC ROTTEN,100,0,rotten,"Action,Drama,War",59,104.0,1481,G.I. Jane,1995,1997,55,critic
11274,AUDIENCE ROTTEN,100,0,rotten,"Action,Adventure,Sci-Fi",58,667.0,1482,G.I. Joe: Retaliation,2010,2013,48,audience
11275,CRITIC ROTTEN,100,0,rotten,"Action,Adventure,Sci-Fi",58,667.0,1482,G.I. Joe: Retaliation,2010,2013,28,critic
11316,AUDIENCE ROTTEN,100,0,rotten,"Action,Adventure,Sci-Fi",58,,1483,G.I. Joe: The Rise of Cobra,2005,2009,50,audience
11317,CRITIC ROTTEN,100,0,rotten,"Action,Adventure,Sci-Fi",58,,1483,G.I. Joe: The Rise of Cobra,2005,2009,35,critic
11318,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Sci-Fi",35,,1484,Galaxina,1980,1980,23,audience
11319,CRITIC ROTTEN,100,0,rotten,"Comedy,Sci-Fi",35,,1484,Galaxina,1980,1980,17,critic
11320,AUDIENCE FRESH,100,1,fresh,"Adventure,Comedy,Sci-Fi",73,1326.0,1485,Galaxy Quest,1995,1999,78,audience
11321,CERTIFIED FRESH,100,1,fresh,"Adventure,Comedy,Sci-Fi",73,1326.0,1485,Galaxy Quest,1995,1999,90,critic
11334,AUDIENCE ROTTEN,100,0,rotten,"Action,Sci-Fi,Thriller",58,1019.0,1486,Gamer,2005,2009,39,audience
11335,CRITIC ROTTEN,100,0,rotten,"Action,Sci-Fi,Thriller",58,1019.0,1486,Gamer,2005,2009,27,critic
11342,AUDIENCE FRESH,100,1,fresh,"Biography,Drama,History",81,182.0,1487,Gandhi,1980,1982,92,audience
11343,CERTIFIED FRESH,100,1,fresh,"Biography,Drama,History",81,182.0,1487,Gandhi,1980,1982,85,critic
11346,AUDIENCE FRESH,100,0,rotten,"Action,Crime,Drama",65,,1488,Gang Related,1995,1997,65,audience
11347,CRITIC ROTTEN,100,0,rotten,"Action,Crime,Drama",65,,1488,Gang Related,1995,1997,53,critic
11348,AUDIENCE FRESH,100,1,fresh,"Crime,Drama",75,,1489,Gangs of New York,2000,2002,81,audience
11349,CERTIFIED FRESH,100,1,fresh,"Crime,Drama",75,,1489,Gangs of New York,2000,2002,75,critic
11350,AUDIENCE FRESH,100,0,fresh,"Crime,Drama,Thriller",68,37.0,1490,Gangster No. 1,2000,2000,77,audience
11351,CRITIC FRESH,100,0,fresh,"Crime,Drama,Thriller",68,37.0,1490,Gangster No. 1,2000,2000,71,critic
11362,AUDIENCE ROTTEN,100,0,rotten,Drama,56,,1491,Garden Party,2005,2008,25,audience
11363,CRITIC ROTTEN,100,0,rotten,Drama,56,,1491,Garden Party,2005,2008,15,critic
11364,AUDIENCE ROTTEN,100,0,rotten,"Drama,War,Romance",64,,1492,Gardens of Stone,1985,1987,56,audience
11365,CRITIC ROTTEN,100,0,rotten,"Drama,War,Romance",64,,1492,Gardens of Stone,1985,1987,47,critic
11366,AUDIENCE ROTTEN,100,0,rotten,"Action,Drama,Crime",58,,1493,Gator,1975,1976,44,audience
11367,CRITIC ROTTEN,100,0,rotten,"Action,Drama,Crime",58,,1493,Gator,1975,1976,0,critic
11368,AUDIENCE FRESH,100,1,fresh,"Drama,Sci-Fi,Thriller",78,2053.0,1494,Gattaca,1995,1997,87,audience
11369,CERTIFIED FRESH,100,1,fresh,"Drama,Sci-Fi,Thriller",78,2053.0,1494,Gattaca,1995,1997,82,critic
11374,AUDIENCE FRESH,100,0,fresh,"Documentary,Biography,Music",74,,1495,Genius Within: The Inner Life of Glenn Gould,2005,2009,77,audience
11375,CRITIC FRESH,100,0,fresh,"Documentary,Biography,Music",74,,1495,Genius Within: The Inner Life of Glenn Gould,2005,2009,83,critic
11376,AUDIENCE ROTTEN,100,0,rotten,"Adventure,Comedy,Sci-Fi",62,116.0,1496,Gentlemen Broncos,2005,2009,43,audience
11377,CRITIC ROTTEN,100,0,rotten,"Adventure,Comedy,Sci-Fi",62,116.0,1496,Gentlemen Broncos,2005,2009,19,critic
11394,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Drama",59,375.0,1497,Georgia Rule,2005,2007,52,audience
11395,CRITIC ROTTEN,100,0,rotten,"Comedy,Drama",59,375.0,1497,Georgia Rule,2005,2007,18,critic
11424,AUDIENCE ROTTEN,100,0,rotten,"Action,Sci-Fi,Thriller",54,74.0,1498,Geostorm,2015,2017,38,audience
11425,CRITIC ROTTEN,100,0,rotten,"Action,Sci-Fi,Thriller",54,74.0,1498,Geostorm,2015,2017,13,critic
11438,AUDIENCE FRESH,100,1,fresh,"Drama,Horror,Thriller",67,,1499,Gerald's Game,2015,2017,73,audience
11439,CERTIFIED FRESH,100,1,fresh,"Drama,Horror,Thriller",67,,1499,Gerald's Game,2015,2017,91,critic
11440,AUDIENCE FRESH,100,0,fresh,"Adventure,Drama,Mystery",62,71.0,1500,Gerry,2000,2002,61,audience
11441,CRITIC FRESH,100,0,fresh,"Adventure,Drama,Mystery",62,71.0,1500,Gerry,2000,2002,61,critic
11460,AUDIENCE FRESH,100,0,fresh,"Action,Crime,Drama",51,85.0,1501,Get Carter,2000,2000,85,audience
11461,CRITIC FRESH,100,0,fresh,"Action,Crime,Drama",51,85.0,1501,Get Carter,2000,2000,90,critic
11490,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Crime",60,612.0,1502,Get Hard,2015,2015,45,audience
11491,CRITIC ROTTEN,100,0,rotten,"Comedy,Crime",60,612.0,1502,Get Hard,2015,2015,29,critic
11506,AUDIENCE FRESH,100,1,fresh,"Drama,Mystery",71,34.0,1503,Get Low,2005,2009,75,audience
11507,CERTIFIED FRESH,100,1,fresh,"Drama,Mystery",71,34.0,1503,Get Low,2005,2009,85,critic
11516,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Romance",58,86.0,1504,Get Over It,2000,2001,51,audience
11517,CRITIC ROTTEN,100,0,rotten,"Comedy,Romance",58,86.0,1504,Get Over It,2000,2001,44,critic
11526,AUDIENCE FRESH,100,1,fresh,"Comedy,Drama,Romance",76,152.0,1505,Get Real,1995,1998,84,audience
11527,CERTIFIED FRESH,100,1,fresh,"Comedy,Drama,Romance",76,152.0,1505,Get Real,1995,1998,78,critic
11548,AUDIENCE FRESH,100,0,rotten,"Biography,Crime,Drama",52,,1506,Get Rich or Die Tryin',2005,2005,70,audience
11549,CRITIC ROTTEN,100,0,rotten,"Biography,Crime,Drama",52,,1506,Get Rich or Die Tryin',2005,2005,16,critic
11550,AUDIENCE FRESH,100,1,fresh,"Comedy,Crime,Thriller",69,117.0,1507,Get Shorty,1995,1995,69,audience
11551,CERTIFIED FRESH,100,1,fresh,"Comedy,Crime,Thriller",69,117.0,1507,Get Shorty,1995,1995,87,critic
11556,AUDIENCE FRESH,100,0,rotten,"Action,Adventure,Comedy",65,684.0,1508,Get Smart,2005,2008,67,audience
11557,CRITIC ROTTEN,100,0,rotten,"Action,Adventure,Comedy",65,684.0,1508,Get Smart,2005,2008,50,critic
11562,AUDIENCE FRESH,100,1,fresh,"Drama,History",68,,1509,Get on the Bus,1995,1996,71,audience
11563,CERTIFIED FRESH,100,1,fresh,"Drama,History",68,,1509,Get on the Bus,1995,1996,88,critic
11564,AUDIENCE FRESH,100,0,fresh,"Action,Crime,Drama",70,,1510,Get the Gringo,2010,2012,68,audience
11565,CRITIC FRESH,100,0,fresh,"Action,Crime,Drama",70,,1510,Get the Gringo,2010,2012,81,critic
11566,AUDIENCE ROTTEN,100,0,rotten,"Comedy,Family,Fantasy",43,,1511,Ghost Dad,1990,1990,32,audience
11567,CRITIC ROTTEN,100,0,rotten,"Comedy,Family,Fantasy",43,,1511,Ghost Dad,1990,1990,7,critic
11568,AUDIENCE ROTTEN,100,0,rotten,"Action,Fantasy,Horror",52,1517.0,1512,Ghost Rider,2005,2007,47,audience
11569,CRITIC ROTTEN,100,0,rotten,"Action,Fantasy,Horror",52,1517.0,1512,Ghost Rider,2005,2007,26,critic
11584,AUDIENCE ROTTEN,100,0,rotten,"Action,Fantasy,Thriller",43,,1513,Ghost Rider: Spirit of Vengeance,2010,2011,32,audience
11585,CRITIC ROTTEN,100,0,rotten,"Action,Fantasy,Thriller",43,,1513,Ghost Rider: Spirit of Vengeance,2010,2011,17,critic
11586,AUDIENCE ROTTEN,100,0,rotten,Horror,55,392.0,1514,Ghost Ship,2000,2002,37,audience
11587,CRITIC ROTTEN,100,0,rotten,Horror,55,392.0,1514,Ghost Ship,2000,2002,14,critic
11600,AUDIENCE ROTTEN,100,0,rotten,"Drama,Horror,Thriller",63,,1515,Ghost Story,1980,1981,42,audience
11601,CRITIC ROTTEN,100,0,rotten,"Drama,Horror,Thriller",63,,1515,Ghost Story,1980,1981,35,critic
11602,AUDIENCE FRESH,100,1,fresh,"Comedy,Drama",74,2456.0,1516,Ghost World,2000,2001,84,audience
11603,CERTIFIED FRESH,100,1,fresh,"Comedy,Drama",74,2456.0,1516,Ghost World,2000,2001,92,critic
11608,AUDIENCE ROTTEN,100,0,rotten,"Horror,Sci-Fi,Thriller",44,,1517,Ghost in the Machine,1990,1993,23,audience
11609,CRITIC ROTTEN,100,0,rotten,"Horror,Sci-Fi,Thriller",44,,1517,Ghost in the Machine,1990,1993,13,critic
